DaysMedia,Ideology,VotingDuty,TrustPeople,AttendServices,Education,RoughProtestors,Feminist,HuffPostNews,FoxNewsWeb,GunsOwned,ClintonPostFT,TrumpPostFT,FundamentalistFT,FeministFT,PoorFT,BigBizFT,RichFT,PoliceFT,ScientistFT,BLMFT,WeedLegal,WomenHome,ObamaMuslim
1,99,4,3,-1,9,3,3,-1,-1,0,40,60,50,50,60,50,50,70,60,50,3,4,8
7,2,1,3,2,10,2,3,-1,-1,-9,70,40,85,998,100,70,70,85,85,85,3,4,10
7,99,1,4,2,10,1,3,-1,-1,0,100,50,50,50,85,85,70,85,70,75,2,2,9
0,4,7,2,-1,13,3,3,0,0,1,50,60,50,50,60,50,50,100,60,50,3,4,-8
3,4,4,3,1,13,3,3,0,0,1,15,30,50,60,60,50,50,100,85,60,2,4,8
3,99,4,5,2,9,4,3,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
3,4,4,3,-1,11,1,2,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,2,1,2,3,14,1,2,-1,-1,0,85,15,15,85,85,50,40,85,85,85,1,4,10
2,5,7,4,-1,9,2,2,0,1,3,15,50,70,50,60,70,50,100,85,60,3,2,3
2,5,6,4,-1,9,4,2,0,0,0,40,60,60,85,85,30,50,100,100,30,1,1,4
4,2,2,2,-1,12,1,2,0,0,4,70,10,30,85,100,40,50,60,100,85,1,4,9
2,99,7,4,4,7,1,2,-1,-1,0,85,0,50,50,50,50,50,40,50,50,1,2,9
7,2,1,4,1,14,3,3,1,0,0,70,30,50,60,85,15,50,85,100,60,2,1,-8
7,-8,1,2,2,10,1,2,0,0,4,85,0,30,70,85,60,70,85,85,30,1,4,1
5,2,1,2,-1,13,1,2,-1,-1,0,70,0,30,100,100,30,50,85,100,100,1,4,5
5,99,7,3,-1,7,3,2,0,1,0,85,0,50,85,85,70,85,85,85,85,2,2,6
6,4,1,4,1,9,5,3,-1,-1,0,85,30,85,70,85,70,70,85,50,50,2,1,4
7,4,1,3,3,10,3,3,1,1,-9,15,85,70,30,50,15,50,100,50,85,1,1,1
7,3,6,3,-1,10,2,2,1,1,1,50,40,15,85,100,30,50,85,70,70,1,4,10
7,4,4,2,-1,9,3,3,0,0,0,30,60,50,40,50,40,50,70,50,50,1,4,8
7,99,2,3,2,9,4,1,-1,-1,0,100,0,50,30,998,40,30,100,85,85,3,4,7
7,6,2,2,1,13,3,3,-1,-1,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
5,4,1,3,-1,12,4,2,-1,-1,0,100,15,70,80,90,50,50,70,90,999,2,1,8
7,4,1,3,3,9,3,3,0,0,0,50,0,60,40,70,30,40,50,70,60,1,2,10
7,99,1,3,3,13,4,1,-1,-1,0,85,0,30,80,60,60,100,30,100,100,1,1,1
7,4,6,2,4,13,1,3,0,0,0,50,15,15,60,70,60,60,60,85,85,1,4,10
5,3,6,4,4,13,2,2,0,0,0,60,15,30,70,50,40,50,60,70,50,1,4,6
5,2,1,2,2,14,2,2,0,0,3,30,0,50,60,70,30,50,85,85,70,1,4,10
7,4,5,2,3,16,4,3,1,1,0,15,60,70,40,85,40,70,70,70,40,1,4,9
7,6,1,4,1,9,4,3,-1,-1,1,0,100,70,60,50,85,100,70,60,30,2,1,3
4,7,1,2,1,10,1,3,0,1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,6,1,4,-1,13,2,3,0,0,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
4,2,4,4,3,12,3,2,-1,-1,0,85,0,85,50,85,50,50,50,50,100,2,4,10
4,4,6,5,-1,9,1,1,-1,-1,-9,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
5,2,1,2,1,10,3,3,0,0,0,100,30,100,50,50,50,85,100,100,50,3,4,10
7,5,1,4,1,13,2,2,1,1,3,30,50,50,40,50,30,50,70,50,40,1,1,7
4,5,6,2,2,9,2,3,-1,-1,1,60,50,50,50,70,40,50,70,70,50,3,3,8
5,99,4,3,-1,9,3,2,0,0,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
3,4,1,4,1,4,4,3,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,4,4,2,4,14,4,3,0,0,0,50,70,50,40,60,50,40,85,70,40,3,4,-8
2,5,6,2,1,12,3,3,0,0,1,30,70,85,40,70,40,70,100,70,40,3,1,3
7,2,2,2,-1,13,1,2,0,0,3,100,15,30,70,60,40,40,60,70,40,1,4,10
7,3,4,3,-1,13,2,1,0,0,0,85,0,30,60,50,40,50,60,50,40,1,4,3
5,5,1,2,-1,9,3,3,-1,-1,0,60,40,85,70,60,60,60,85,70,60,1,4,2
7,2,6,2,4,13,1,2,0,0,0,95,0,35,95,100,15,50,95,100,95,1,4,1
7,99,1,3,-1,8,-9,-9,-1,-1,-9,0,998,0,15,50,30,60,80,50,15,2,-8,-8
1,1,7,3,-1,3,4,1,0,0,0,0,30,50,50,70,85,100,55,50,85,2,4,6
7,3,1,2,-1,13,2,2,1,0,0,30,15,40,60,60,50,40,50,70,50,1,4,10
5,5,7,2,-1,9,2,2,1,0,1,85,0,40,85,85,70,70,85,85,85,3,4,10
7,4,4,4,4,11,2,3,0,0,0,40,60,40,100,70,0,50,50,50,100,1,4,3
3,4,4,4,2,9,3,3,-1,-1,2,40,40,70,30,60,50,50,100,50,70,2,4,9
1,99,4,5,4,10,5,3,0,0,0,0,40,50,15,50,50,50,100,50,0,1,4,7
7,4,1,4,4,10,3,3,0,1,1,40,70,70,60,70,60,60,70,85,50,3,1,3
7,5,1,2,2,13,1,2,0,0,0,15,50,40,50,60,40,50,60,70,30,2,3,8
0,99,4,3,-1,10,2,3,-1,-1,1,50,50,50,50,60,50,50,50,60,50,2,4,9
3,99,2,4,4,9,3,3,0,0,0,60,15,60,50,70,60,60,40,100,70,1,4,3
7,4,6,2,-1,9,3,1,-1,-1,0,0,70,50,100,100,0,50,100,70,0,2,1,1
7,4,7,2,-1,9,5,3,-1,-1,30,30,100,50,85,85,50,60,100,100,0,3,4,7
7,99,7,3,1,13,3,3,0,1,0,85,15,50,85,100,70,85,100,100,85,3,4,2
5,99,7,3,1,9,2,3,-1,-1,0,50,70,50,50,100,50,30,100,70,70,1,1,5
5,4,6,4,-1,10,4,2,0,0,2,0,60,50,15,40,15,15,60,70,40,1,4,1
6,99,6,4,-1,11,3,3,0,0,1,0,85,50,40,40,30,50,70,60,30,1,4,4
4,5,7,3,1,11,4,3,0,1,8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
3,4,6,3,-1,9,2,3,1,0,2,15,60,40,50,60,60,60,85,85,50,3,4,6
6,4,1,2,1,11,3,-9,-1,-1,-9,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,6,7,4,-1,9,5,3,0,0,1,0,85,70,0,50,70,60,100,60,0,3,2,4
7,3,1,3,1,12,2,3,1,1,0,60,40,70,70,70,60,70,85,70,60,1,3,8
7,2,1,2,4,13,2,2,-1,-1,0,70,0,30,100,85,60,100,85,100,100,1,4,10
2,6,7,2,1,10,1,3,0,0,0,15,40,50,40,50,50,50,60,60,50,1,1,8
