DaysMedia,Ideology,VotingDuty,TrustPeople,AttendServices,Education,RoughProtestors,Feminist,HuffPostNews,FoxNewsWeb,GunsOwned,ClintonPostFT,TrumpPostFT,FundamentalistFT,FeministFT,PoorFT,BigBizFT,RichFT,PoliceFT,ScientistFT,BLMFT,WeedLegal,WomenHome,ObamaMuslim
5,99,4,4,-1,8,4,3,0,0,0,30,40,999,30,50,50,50,50,60,0,2,4,8
7,6,2,4,2,10,2,3,0,1,0,85,0,50,50,70,40,40,100,50,15,2,4,7
7,99,4,2,-1,9,4,3,-1,-1,8,15,70,85,50,60,30,0,85,50,85,3,1,1
7,1,2,2,3,13,1,1,0,0,0,100,0,40,100,100,70,100,70,100,100,1,4,10
7,7,1,2,1,15,-9,3,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,4,1,1,1,13,2,3,1,0,0,70,0,0,50,70,40,60,70,70,60,3,4,10
7,4,4,2,1,14,2,3,0,0,1,40,70,50,50,50,50,50,60,50,40,3,4,7
7,4,7,2,2,13,3,3,0,1,0,40,70,60,60,60,40,40,70,60,70,1,4,7
7,2,7,4,-1,14,1,2,1,0,0,100,0,0,100,100,85,100,100,100,100,1,4,6
7,4,7,3,3,14,1,2,0,1,0,85,30,40,60,70,15,60,85,85,40,3,3,10
7,1,1,2,-1,13,1,1,0,0,0,70,0,0,90,100,10,20,30,100,100,1,4,10
7,6,6,3,4,13,1,3,-1,-1,0,15,60,70,50,85,70,70,85,70,30,2,4,7
5,99,1,4,-1,13,1,3,0,0,2,0,100,50,50,100,70,85,100,50,0,2,1,1
1,4,6,4,-1,9,2,2,1,1,1,15,70,50,50,100,50,85,100,85,30,1,1,-8
7,4,1,2,-1,13,1,2,0,0,0,60,0,30,70,60,60,60,40,100,70,1,4,10
1,6,6,4,3,9,4,3,-1,-1,0,0,70,50,50,50,60,50,100,85,0,1,2,-8
1,5,6,4,4,8,2,3,-1,-1,0,60,85,100,70,85,85,85,40,100,85,3,1,10
5,99,5,2,4,4,3,3,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
5,3,4,5,-1,10,5,3,-1,-1,0,85,15,70,100,85,100,70,60,60,70,1,3,10
7,4,5,2,4,10,2,3,0,1,0,15,85,50,50,50,50,50,60,70,40,3,4,8
7,99,4,3,4,9,3,3,-1,-1,2,40,60,50,50,50,60,50,85,70,50,1,5,-8
4,4,7,3,3,11,2,2,-1,-1,1,40,85,85,85,85,70,70,85,85,100,1,2,-8
7,3,4,2,-1,9,-9,-9,-1,-1,-9,40,30,0,70,85,40,85,85,100,70,1,4,-9
5,3,1,2,4,11,1,3,1,1,0,100,30,70,100,85,65,100,50,85,65,1,4,-8
7,6,7,4,3,13,1,3,-1,-1,0,0,85,70,40,100,15,100,50,100,30,2,3,9
7,99,7,2,3,9,2,2,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,6,2,2,3,14,3,3,0,0,1,0,85,70,50,85,60,70,85,50,40,3,4,1
7,6,7,2,5,12,3,3,0,1,1,0,100,50,0,40,50,50,50,50,50,1,4,1
7,99,7,3,2,9,1,3,-1,-1,0,60,0,0,0,40,0,50,100,40,0,3,4,3
5,4,4,2,3,9,1,2,0,0,2,70,15,60,70,85,50,60,70,70,85,3,4,7
3,4,7,4,-1,8,4,3,0,0,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
6,3,1,2,4,14,-9,2,-1,-1,0,70,30,15,60,60,50,50,70,85,40,1,3,8
7,7,7,5,-1,10,3,2,-1,-1,0,100,0,85,100,100,0,0,0,0,100,2,1,2
3,1,2,2,4,10,1,3,-1,-1,0,70,85,85,50,70,85,85,60,85,998,1,1,-8
5,3,1,2,3,16,2,2,-1,-1,0,85,5,30,85,80,60,50,90,100,65,3,-8,10
7,99,7,3,-1,13,3,3,-1,-1,0,85,15,998,85,85,40,70,60,70,85,3,4,-8
7,6,7,2,-1,10,5,2,0,0,0,0,100,0,30,60,85,60,85,0,0,1,4,5
7,4,7,5,-1,12,5,1,-1,-1,0,30,70,30,60,50,30,0,70,85,30,1,4,3
6,2,1,2,-1,9,3,2,0,0,12,85,0,50,70,85,40,70,85,85,85,2,3,8
7,1,1,2,3,14,1,1,0,1,0,70,30,30,100,100,15,60,85,100,100,1,4,10
7,4,1,2,3,13,3,1,0,0,1,85,40,40,40,60,40,60,85,60,60,3,4,9
7,2,-1,2,4,14,-9,2,-1,-1,0,70,0,40,-9,-9,30,-9,-9,-9,60,-9,-9,9
7,4,1,4,-1,9,3,2,0,0,1,40,50,30,50,50,60,50,50,100,40,1,4,8
1,4,2,2,4,13,1,2,1,0,0,30,30,60,70,50,40,50,60,70,40,1,4,6
7,6,1,3,4,9,2,3,1,1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,5,1,4,4,15,4,2,1,0,0,40,40,0,60,60,60,60,60,100,60,2,4,8
7,2,1,2,-1,10,1,2,1,1,0,100,0,0,85,50,15,50,60,60,50,1,4,10
4,6,7,5,3,10,2,1,0,1,0,85,60,70,60,85,70,70,60,60,100,1,4,10
7,2,4,2,-1,13,1,1,1,0,0,100,0,0,100,100,30,50,85,100,100,1,4,10
7,6,1,2,-1,10,3,3,-1,-1,0,0,85,50,40,60,50,50,75,75,15,1,4,6
7,4,3,2,4,10,1,3,-1,-1,0,100,0,50,50,60,40,60,85,60,40,3,4,9
5,6,1,3,1,8,4,3,-1,-1,1,30,70,50,40,100,60,70,85,100,40,3,5,6
7,4,7,3,3,11,3,3,-1,-1,2,40,70,60,50,50,50,60,60,70,60,2,-8,8
7,5,1,4,-1,14,4,1,-1,-1,7,0,0,998,70,100,70,85,85,100,30,2,4,6
5,99,7,3,4,12,3,3,1,0,0,60,40,50,50,60,85,70,85,60,70,2,2,9
7,5,1,3,3,10,5,3,-1,-1,2,0,100,50,0,100,50,90,80,30,0,1,2,3
7,4,1,2,1,3,3,2,-1,-1,0,100,15,85,50,80,85,50,85,60,100,2,1,9
1,5,1,2,2,14,1,3,0,0,2,0,100,100,70,100,100,100,100,100,100,2,3,3
7,2,1,2,-1,14,1,2,1,0,3,85,0,15,-9,100,15,-9,70,-9,70,3,-8,8
7,99,7,4,3,9,3,3,-1,-1,0,80,50,40,60,80,60,70,50,60,40,1,4,5
7,99,4,2,3,8,4,3,0,1,0,50,50,50,50,70,40,50,70,70,30,1,3,6
2,99,4,5,1,10,2,3,-1,-1,0,0,50,50,50,50,50,50,70,50,50,3,1,-8
7,99,7,3,4,11,4,3,1,0,3,40,60,50,100,100,40,100,70,100,50,1,1,6
7,6,1,2,2,14,5,3,-1,-1,0,40,60,40,60,60,50,50,100,85,60,3,4,-8
4,5,6,2,4,9,5,3,0,0,6,0,40,50,0,50,60,85,15,100,0,1,3,6
7,99,1,3,1,11,1,3,0,0,0,0,100,70,50,100,0,50,100,60,0,2,1,1
5,6,1,4,3,12,4,3,0,1,0,40,60,40,50,85,40,40,70,70,50,3,2,9
3,99,2,3,2,14,3,2,0,0,0,85,0,60,70,85,60,40,60,60,100,2,4,7
7,4,7,2,1,10,1,1,-1,-1,7,100,0,85,100,100,60,100,70,100,85,1,1,10
7,1,1,2,-1,14,2,2,1,0,3,100,0,30,100,100,30,85,85,100,60,1,2,10
7,5,7,4,3,9,4,3,-1,-1,-9,85,15,85,60,85,70,50,85,100,70,2,7,10
7,7,1,3,3,9,1,3,0,0,0,50,30,50,50,40,50,50,50,60,50,2,1,6
7,7,7,4,-1,95,3,3,-1,-1,0,100,0,50,100,100,85,100,100,100,70,2,4,10
7,5,6,2,-1,9,2,3,0,0,4,30,100,40,40,70,60,50,70,70,30,1,4,8
5,99,7,4,-1,9,1,3,-1,-1,5,15,30,50,50,50,50,50,60,60,40,1,5,5
7,2,1,2,-1,10,1,3,1,0,0,0,0,50,100,85,0,50,70,100,50,1,4,10
7,5,2,2,2,14,3,3,-1,-1,0,30,70,50,40,50,60,50,85,60,40,3,4,8
1,2,6,4,-1,10,2,2,1,0,0,70,15,50,85,100,70,85,60,100,85,3,3,5
7,5,1,4,3,9,4,3,-1,-1,1,15,70,70,30,70,60,50,30,60,15,1,4,4
3,4,1,2,-1,14,1,2,-1,-1,0,50,40,50,50,100,85,85,85,85,85,3,4,10
7,6,6,4,-1,9,2,3,-1,-1,0,0,100,30,50,60,85,100,100,85,30,3,2,3
5,4,7,2,3,13,3,2,-1,-1,0,15,70,50,60,70,50,70,100,85,0,2,4,-8
7,3,1,2,3,10,1,3,1,0,0,85,30,60,85,100,70,100,100,85,70,3,4,8
3,99,5,5,1,6,-9,-9,-1,-1,-9,50,40,50,50,50,50,50,60,60,50,3,4,7
7,99,7,2,4,9,3,3,1,0,4,15,85,50,50,15,60,50,70,60,15,1,1,4
4,7,1,4,-1,9,5,3,-1,-1,0,0,85,100,0,100,100,100,100,70,0,2,1,1
7,2,1,3,-1,12,1,1,-1,-1,0,70,40,15,85,100,30,50,60,85,60,3,2,9
7,2,2,2,2,14,3,2,-1,-1,0,85,0,40,70,50,50,50,50,100,50,1,4,10
7,4,1,3,2,10,4,3,0,1,3,0,85,85,50,85,50,50,100,50,50,3,4,5
5,7,4,5,-1,5,2,3,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,2,1,2,1,14,3,2,0,1,0,85,15,15,85,85,60,60,85,85,60,3,2,9
7,4,1,2,1,12,2,3,-1,-1,2,70,40,70,60,85,60,50,100,100,70,2,4,-8
7,3,1,2,-1,10,1,3,1,1,7,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,7,7,2,1,10,4,3,0,0,8,0,100,100,0,100,60,70,100,100,0,2,1,-8
2,6,6,2,-1,13,1,2,0,0,0,30,15,50,40,50,40,50,70,85,50,1,2,10
4,99,6,3,4,8,3,3,-1,-1,10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
4,4,1,1,2,9,3,3,-1,-1,4,30,85,50,60,60,70,70,85,100,15,2,1,6
7,6,1,2,2,8,3,3,-1,-1,0,40,70,50,50,70,60,60,100,50,30,2,1,6
4,3,6,2,4,10,2,3,1,0,2,70,15,60,60,60,30,60,85,85,60,1,5,10
7,4,7,2,2,14,2,3,0,0,2,30,60,85,40,85,40,40,85,50,0,2,4,-8
7,99,6,4,-1,11,2,3,-1,-1,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
5,5,2,3,-1,14,3,2,-1,-1,0,60,5,30,60,70,70,50,60,85,60,3,4,9
1,99,6,3,-1,6,2,3,-1,-1,3,0,60,50,60,50,0,40,85,85,50,1,4,5
7,6,1,2,-1,12,2,3,0,0,-9,0,60,30,40,70,40,50,70,85,15,3,4,10
6,99,7,4,-1,11,2,2,1,0,0,40,85,85,100,85,70,50,85,100,85,1,4,7
1,99,1,4,1,9,1,2,-1,-1,0,90,30,999,50,-9,50,50,50,40,999,2,2,-8
7,5,7,3,-1,9,2,3,-1,-1,0,8,10,100,1,100,100,10,90,90,100,3,4,7
7,99,2,2,1,10,4,1,-1,-1,0,85,40,100,70,50,70,40,70,70,50,1,2,10
7,5,1,2,1,13,4,3,0,1,2,15,60,30,50,70,60,40,85,60,15,2,4,3
7,4,4,2,4,15,1,2,0,0,0,60,0,40,60,85,50,50,85,85,60,1,4,10
5,99,7,4,4,9,1,3,-1,-1,0,70,50,0,50,85,40,40,60,60,70,3,2,5
5,99,3,2,-1,9,5,3,-1,-1,0,100,3,20,998,20,100,4,10,100,11,1,2,7
7,3,4,5,1,5,1,3,-1,-1,0,50,85,70,100,100,70,0,50,0,100,1,4,4
7,99,6,3,3,11,5,3,0,0,6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,6,7,2,-1,10,3,3,-1,-1,2,40,50,60,50,50,60,50,85,70,40,3,2,-8
7,5,7,2,1,13,1,3,0,1,2,0,70,40,40,100,60,50,100,60,0,2,2,3
3,5,2,5,1,9,5,3,0,1,0,0,60,100,0,100,60,50,100,40,0,1,4,1
7,7,4,3,4,9,2,2,-1,-1,0,0,30,85,85,40,15,30,85,60,0,2,1,3
5,4,6,3,-1,10,1,3,0,0,5,15,15,50,70,70,70,70,100,70,50,3,4,-8
3,4,6,2,4,13,3,3,-1,-1,0,15,60,60,50,70,40,30,85,70,50,2,1,8
7,4,1,2,2,14,3,2,1,0,0,100,0,50,95,100,40,60,60,80,80,3,1,1
6,6,2,2,4,10,3,3,0,0,-9,0,70,50,50,85,50,50,100,50,30,3,1,5
7,7,7,1,4,10,3,3,0,1,0,0,60,60,15,50,70,50,85,50,0,3,1,8
7,99,6,4,4,8,3,3,-1,-1,6,0,60,40,50,85,50,50,85,85,30,1,3,3
7,3,6,3,3,10,1,2,0,0,0,85,0,60,70,85,999,40,50,85,40,2,3,2
2,4,2,3,-1,9,4,3,-1,-1,0,50,60,60,50,60,70,40,60,85,50,1,3,3
5,99,6,3,-1,9,3,2,-1,-1,0,70,0,15,100,100,30,15,40,85,85,1,4,6
1,99,1,3,1,9,3,2,0,0,1,15,60,70,60,70,60,60,85,70,60,2,2,8
2,1,7,4,1,10,3,3,-1,-1,0,0,100,85,60,30,85,15,30,85,50,1,5,5
7,5,7,3,-1,13,2,2,1,0,1,15,60,30,40,60,50,70,85,100,15,1,4,9
7,3,7,4,-1,12,1,2,1,0,0,60,0,0,70,60,60,40,60,60,60,1,4,3
7,6,1,2,3,9,4,3,0,0,8,50,70,85,60,60,50,70,85,50,50,2,4,3
1,99,6,4,-1,9,4,3,0,0,0,50,60,50,50,50,50,50,100,50,50,2,4,8
5,5,6,3,3,9,3,3,-1,-1,0,70,80,100,70,85,85,85,100,100,70,2,1,1
5,5,6,4,3,9,4,3,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
1,2,6,2,-1,13,1,2,1,0,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,1,6,3,-1,15,5,2,1,1,1,70,40,0,100,50,50,50,65,100,50,1,-8,9
7,4,1,4,4,9,4,1,-1,-1,0,85,40,70,60,85,60,60,85,70,70,1,2,10
7,1,7,2,-1,10,2,2,0,0,0,60,0,60,100,100,15,100,85,100,50,1,4,10
7,2,7,2,4,11,1,3,0,1,1,60,15,50,998,50,15,40,15,100,70,1,3,9
5,6,1,2,1,10,1,3,0,0,0,0,100,70,50,50,70,50,85,50,0,1,3,8
7,99,7,4,-1,9,3,3,-1,-1,0,70,40,85,999,70,999,85,70,70,999,2,4,8
7,4,6,4,-1,9,3,3,-1,-1,0,0,70,999,999,60,80,70,85,100,30,1,4,3
7,6,1,2,-1,15,2,3,0,1,10,15,60,60,60,50,60,70,70,70,30,2,2,7
4,6,1,2,1,13,5,3,-1,-1,0,0,30,85,40,85,50,50,70,70,40,2,1,6
4,3,4,4,-1,9,3,3,0,0,0,60,20,50,40,90,80,30,70,30,40,2,1,9
7,2,1,2,-1,11,2,2,-1,-1,0,85,0,0,70,85,60,70,85,100,70,1,4,10
7,99,1,4,1,9,5,3,0,1,0,0,100,100,85,100,50,50,100,100,50,2,1,3
6,5,5,3,1,13,4,3,0,1,0,40,60,60,40,50,50,50,70,70,30,2,2,-8
3,99,6,4,1,9,2,3,0,1,3,0,100,998,-9,100,999,50,100,70,0,1,3,-8
7,99,7,4,1,11,3,3,0,0,6,50,85,100,50,50,50,50,100,50,0,3,1,1
7,3,1,2,4,16,1,2,1,0,11,60,15,50,60,70,50,60,85,85,70,1,4,10
5,4,4,4,-1,12,3,3,-1,-1,0,0,85,50,50,50,50,30,100,100,0,1,4,1
5,5,2,2,-1,13,3,3,0,0,4,60,60,60,60,60,50,60,70,70,998,1,5,6
7,2,1,2,4,16,1,2,-1,-1,0,85,0,40,70,85,40,50,60,60,85,1,4,10
7,5,1,3,1,10,4,3,-1,-1,0,15,85,100,40,70,40,70,70,70,40,3,1,2
7,7,7,3,3,6,2,1,-1,-1,2,100,0,50,0,100,85,0,85,100,999,-8,7,6
7,3,4,2,-1,13,2,2,0,0,0,70,0,998,85,60,15,60,85,100,60,1,2,10
7,-8,4,5,4,8,5,3,-1,-1,0,0,0,8,999,1,5,2,8,5,2,1,1,6
7,4,2,2,2,14,2,2,0,0,0,85,0,0,70,-9,40,-9,50,70,60,2,4,10
7,1,1,2,-1,11,1,2,0,0,0,85,0,15,85,100,50,50,70,85,85,2,4,10
7,6,7,2,-1,14,3,3,0,1,0,0,100,60,0,100,50,50,60,85,15,1,1,2
6,6,6,2,1,13,1,3,0,0,-9,0,70,50,0,85,60,60,85,70,0,2,1,-8
7,99,4,3,3,9,2,3,-1,-1,0,70,0,50,50,70,60,50,50,70,50,2,4,7
7,99,6,3,-1,9,3,3,0,1,3,60,60,85,70,85,70,60,85,85,85,1,4,7
7,99,4,2,3,10,1,3,-1,-1,0,40,40,50,50,50,50,50,85,50,50,3,2,-8
1,99,4,4,-1,9,3,3,-1,-1,0,60,50,50,50,50,50,50,50,50,50,3,4,6
7,6,1,2,-1,12,3,3,0,0,12,40,40,40,50,50,50,50,70,85,30,1,2,8
7,4,1,4,3,10,2,1,-1,-1,0,30,0,85,85,85,70,70,60,70,100,1,4,5
7,4,1,3,-1,10,2,3,0,0,0,70,15,50,50,70,30,50,70,60,40,1,4,9
7,4,1,2,1,14,2,1,-1,-1,10,85,0,40,60,85,40,40,85,70,40,2,2,10
4,99,6,3,-1,9,3,2,-1,-1,0,85,30,50,50,70,85,50,85,85,70,3,1,6
7,2,6,3,4,12,2,3,0,0,0,60,30,60,70,70,15,70,70,85,70,1,4,7
7,6,1,3,2,13,2,3,-1,-1,0,0,100,100,15,85,70,70,85,70,0,2,2,9
7,6,7,4,-1,11,2,3,-1,-1,0,100,15,60,85,85,60,0,70,70,85,1,3,3
7,4,2,4,-1,9,2,3,-1,-1,0,50,50,50,50,70,50,40,50,50,50,1,4,-8
7,5,1,2,2,13,2,3,1,1,0,30,100,70,60,100,70,70,100,70,0,3,1,-8
4,99,1,4,-1,9,1,2,-1,-1,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,99,1,2,1,7,4,-9,-1,-1,0,50,0,50,50,50,50,50,100,50,50,3,1,-8
5,2,6,2,-1,14,1,2,1,0,0,70,0,15,50,50,40,50,50,50,50,1,-8,9
7,6,7,4,4,9,1,3,-1,-1,2,0,60,70,70,60,70,50,100,70,0,2,4,8
7,5,4,4,1,9,2,3,-1,-1,0,60,70,85,60,15,60,60,50,85,0,2,4,-8
5,99,2,2,1,9,2,3,-1,-1,0,50,60,999,50,85,30,50,85,85,60,2,1,-8
7,2,1,2,4,10,1,3,0,0,0,70,0,30,50,70,40,50,85,70,40,1,4,10
5,5,1,1,3,13,1,2,0,0,3,30,60,30,40,50,30,50,70,50,30,3,4,6
4,6,1,2,2,11,3,3,-1,-1,0,0,85,70,15,50,70,50,100,50,0,2,2,7
3,5,1,4,-1,9,4,-9,-1,-1,0,60,50,999,999,85,999,70,100,85,100,2,-8,9
6,4,1,3,4,13,1,2,1,0,0,50,40,30,85,85,40,50,85,100,85,1,4,4
7,4,7,3,-1,8,5,2,-1,-1,0,50,50,50,999,50,50,50,50,50,50,2,1,6
2,99,7,3,1,10,5,3,0,0,0,0,85,100,40,100,85,100,100,100,0,3,2,4
7,2,1,2,-1,14,1,3,1,1,0,85,0,0,70,60,30,40,70,85,60,1,4,10
7,2,1,3,4,12,1,1,1,0,0,100,0,40,100,100,70,100,85,100,100,1,4,10
2,4,2,2,1,10,3,3,0,0,0,100,15,60,100,100,85,70,70,85,100,-9,4,9
4,4,7,4,1,10,2,2,0,0,0,50,40,50,60,50,50,50,50,50,60,3,4,2
6,2,1,4,-1,13,1,2,1,0,0,85,15,50,85,85,50,85,85,100,85,1,4,9
7,5,1,2,-1,12,3,2,0,1,1,15,85,50,40,50,40,70,70,50,0,3,3,4
7,2,1,2,-1,13,1,2,1,0,0,70,0,15,70,50,50,30,70,85,30,1,4,10
6,4,1,2,1,10,3,3,0,1,0,0,60,998,50,85,40,65,80,70,999,2,1,-8
7,4,1,4,-1,14,3,3,-1,-1,0,60,85,999,50,999,999,50,100,100,999,2,1,-8
7,99,4,2,-1,10,5,3,0,0,0,70,15,40,70,50,40,50,100,85,70,1,4,10
7,99,4,4,-1,5,2,3,-1,-1,0,0,60,0,0,60,30,0,50,60,0,1,2,1
1,2,7,2,-1,9,1,3,-1,-1,0,85,15,50,85,50,70,60,70,85,85,1,4,-8
2,6,2,4,-1,10,3,3,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,99,1,3,-1,9,5,3,0,0,0,0,70,50,50,85,40,50,100,998,50,3,4,6
0,6,3,4,1,9,4,3,-1,-1,0,50,50,70,60,70,50,50,70,60,70,2,4,-8
7,2,1,2,1,14,1,3,1,0,0,70,0,50,60,50,50,50,60,70,60,1,4,10
3,99,2,2,-1,9,3,2,-1,-1,0,50,60,50,85,50,50,50,85,85,50,1,4,4
3,2,4,3,4,12,3,2,0,0,0,40,15,0,60,60,0,15,60,85,85,1,4,10
3,2,1,4,-1,10,1,3,-1,-1,1,85,0,50,50,70,30,0,60,60,50,1,2,10
7,99,1,2,4,8,1,3,0,0,5,60,15,40,50,60,40,50,70,70,50,1,2,-8
2,5,5,2,-1,13,2,3,0,0,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
6,5,4,3,2,13,5,3,0,1,2,0,100,85,0,85,85,85,100,85,0,2,4,-8
7,4,1,4,2,11,4,2,-1,-1,0,50,50,60,85,100,85,60,100,85,85,2,3,9
7,4,3,2,3,13,1,2,0,0,3,0,50,0,50,85,30,100,85,100,15,1,4,7
5,2,7,2,-1,14,1,2,0,0,0,85,15,10,75,75,25,50,60,50,75,3,4,8
5,99,1,3,4,7,3,2,0,0,1,70,70,85,999,100,100,50,100,100,50,1,4,3
5,99,1,5,1,12,5,3,-1,-1,0,100,0,50,50,85,50,50,100,60,50,2,1,-8
5,3,2,2,-1,13,1,1,1,0,0,40,40,60,70,85,40,50,70,100,85,1,4,10
7,6,1,4,-1,9,3,3,-1,-1,1,0,100,60,40,70,70,70,85,70,0,3,4,3
5,4,7,3,2,13,3,3,0,1,3,85,40,85,15,50,40,30,70,70,50,3,4,8
7,5,3,3,-1,7,4,3,0,1,0,30,65,60,30,70,60,70,85,85,40,1,2,8
5,5,2,2,4,13,2,3,0,0,1,0,60,50,30,50,40,50,70,60,40,2,4,6
7,5,6,2,-1,10,2,3,0,1,0,85,0,40,85,100,40,85,85,100,85,1,4,8
7,7,2,2,2,10,3,3,0,1,5,15,85,0,0,70,60,70,100,60,0,3,2,9
7,2,5,2,-1,16,1,2,0,0,0,85,15,30,70,70,70,40,60,100,100,1,4,10
7,99,-1,2,-1,5,1,3,-1,-1,0,998,100,100,100,100,50,100,100,100,999,2,4,5
7,6,7,3,1,10,1,1,-1,-1,0,30,30,50,50,50,50,50,30,50,50,1,1,-8
7,6,6,2,-1,13,4,3,0,0,6,0,85,15,50,85,50,50,85,85,70,1,4,6
7,99,7,4,1,11,2,2,-1,-1,0,0,100,50,15,60,50,50,100,70,0,2,2,2
7,99,7,3,-1,10,3,2,0,1,6,40,85,50,50,70,50,50,85,50,50,3,4,3
5,99,1,4,3,11,5,3,0,0,0,85,0,100,70,85,50,40,60,100,85,1,4,10
7,1,1,2,2,11,1,2,1,0,3,60,0,40,100,70,60,50,85,70,60,2,-8,-9
5,99,6,2,1,9,4,3,-1,-1,0,50,50,60,50,85,50,50,50,50,50,1,1,-8
7,6,7,3,2,9,4,3,-1,-1,0,20,50,100,50,100,70,40,85,100,100,2,2,-8
7,3,1,4,-1,12,2,2,0,0,0,85,0,50,85,85,15,50,70,100,85,3,4,10
0,4,4,4,2,8,-9,-9,-1,-1,-9,60,60,50,15,85,60,60,85,70,999,2,1,10
7,99,6,4,-1,13,2,3,0,0,0,15,85,999,998,998,85,40,100,70,85,3,3,-8
5,-9,4,4,-1,6,1,2,-1,-1,0,50,50,50,50,50,50,50,50,50,50,3,4,-8
7,1,1,-9,-1,13,3,2,0,0,0,85,0,0,100,100,15,50,50,100,100,1,4,10
7,99,4,3,-1,9,1,3,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
1,4,7,4,-1,9,-9,-9,-1,-1,-9,0,85,15,40,70,40,40,100,85,50,1,1,6
7,2,7,2,4,10,1,3,-1,-1,0,40,40,70,50,85,60,50,85,60,85,2,1,3
5,4,6,3,-1,7,2,3,-1,-1,0,60,50,60,50,50,60,50,50,70,50,3,1,-8
7,4,6,5,4,7,3,3,-1,-1,0,60,100,85,70,85,85,40,85,100,100,3,4,7
7,7,7,3,4,13,3,3,0,0,0,0,100,85,0,100,100,100,100,85,0,2,1,1
3,7,4,3,1,13,3,3,0,0,0,0,100,100,0,-9,50,-9,70,-9,6,3,1,3
7,99,1,3,1,10,1,1,-1,-1,1,85,998,998,998,100,998,85,85,85,85,3,1,8
7,4,4,4,1,11,3,3,0,0,0,70,15,60,70,100,40,100,85,85,15,1,4,3
0,99,4,4,-1,8,5,3,-1,-1,-9,50,50,70,60,70,60,70,70,70,50,3,5,-8
7,99,6,3,4,10,3,3,0,1,0,60,60,50,50,85,60,50,70,85,50,3,4,3
4,-8,7,2,4,10,2,2,1,0,0,60,0,85,85,100,70,50,85,100,85,3,6,1
7,99,7,5,1,9,3,2,-1,-1,0,15,15,100,60,100,30,30,85,60,50,1,1,3
7,4,7,2,-1,13,5,2,-1,-1,0,0,60,85,15,85,50,70,85,85,0,2,-8,4
5,6,1,3,1,12,2,3,0,1,3,15,40,50,70,70,50,70,85,70,40,2,3,9
7,5,7,3,-1,12,1,3,1,0,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,99,1,4,2,10,2,2,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,99,7,4,-1,9,3,1,-1,-1,0,50,100,85,70,85,85,85,100,100,85,1,3,4
7,3,1,4,-1,9,1,2,1,0,0,40,15,0,85,85,0,15,50,100,70,1,4,10
3,3,1,3,-1,13,3,3,0,0,0,60,15,30,60,70,30,40,85,100,70,1,4,10
7,2,7,2,2,13,4,2,-1,-1,0,100,20,70,85,100,30,70,100,85,85,2,4,10
7,6,6,2,3,13,4,3,-1,-1,1,0,85,60,60,85,50,60,100,85,0,2,1,4
7,6,1,2,1,13,4,3,-1,-1,4,0,85,85,30,60,70,85,70,100,0,2,2,-8
5,5,7,1,-1,8,1,3,-1,-1,0,70,70,50,50,70,50,70,70,70,60,3,4,6
7,3,6,2,4,15,1,2,1,0,0,70,15,40,70,70,30,60,70,70,60,3,4,10
2,99,4,4,-1,9,3,2,0,0,2,40,60,50,70,50,60,50,85,85,50,3,4,5
7,6,1,2,3,12,1,3,0,0,-9,15,85,60,50,60,70,50,70,70,30,2,1,7
7,6,1,2,-1,11,4,2,-1,-1,37,60,0,0,50,50,0,30,90,100,100,1,2,10
7,99,1,2,1,16,4,2,-1,-1,0,85,0,0,85,85,60,85,70,85,85,1,4,10
7,99,1,3,-1,10,1,3,0,1,0,85,40,50,70,100,70,70,85,85,85,1,4,8
7,99,1,2,-1,9,3,1,-1,-1,0,40,70,70,70,85,50,60,70,85,15,2,4,-8
5,6,1,3,2,11,-9,3,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
3,4,6,2,-1,9,3,3,0,0,0,0,85,50,50,50,60,60,70,85,50,3,4,3
7,4,2,2,-1,10,5,3,-1,-1,0,60,60,50,60,60,70,60,85,70,30,1,2,9
